date,region,latitude,longitude,day_of_week,hour,season,fuel_price,holiday,temperature,relative_humidity,dew_point,surface_pressure,rain,snowfall,visibility,num_of_cars,avg_speed
24-05-2024,Maribor,46.68255971126553,15.65138919777721,Friday,10:00:00,Spring,1.495,None,18.3,77,14.2,982.8,0.0,0.0,24140.0,408,83
24-05-2024,Maribor,46.68255971126553,15.65138919777721,Friday,15:00:00,Spring,1.495,None,23.0,44,10.1,981.1,0.0,0.0,24140.0,432,86
24-05-2024,Maribor,46.68255971126553,15.65138919777721,Friday,16:00:00,Spring,1.495,None,22.9,41,9.0,980.8,0.0,0.0,24140.0,444,84
24-05-2024,Maribor,46.68255971126553,15.65138919777721,Friday,18:00:00,Spring,1.495,None,21.1,53,11.1,981.2,0.0,0.0,24140.0,252,79
24-05-2024,Maribor,46.68255971126553,15.65138919777721,Friday,20:00:00,Spring,1.495,None,19.2,63,12.0,981.2,0.0,0.0,24140.0,204,82
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,00:00:00,Spring,1.495,None,15.0,69,9.4,982.2,0.0,0.0,24140.0,72,68
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,01:00:00,Spring,1.495,None,14.9,74,10.3,982.3,0.0,0.0,24140.0,108,77
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,02:00:00,Spring,1.495,None,12.5,85,10.0,982.1,0.0,0.0,24140.0,108,78
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,04:00:00,Spring,1.495,None,11.7,84,9.1,982.5,0.0,0.0,24140.0,240,83
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,06:00:00,Spring,1.495,None,11.1,84,8.5,982.3,0.0,0.0,24140.0,300,86
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,08:00:00,Spring,1.495,None,14.8,83,11.9,982.9,0.0,0.0,24140.0,564,88
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,10:00:00,Spring,1.495,None,18.3,77,14.2,982.9,0.0,0.0,24140.0,492,84
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,12:00:00,Spring,1.495,None,21.0,58,12.4,983.1,0.0,0.0,24140.0,660,83
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,14:00:00,Spring,1.495,None,22.9,40,8.6,982.2,0.0,0.0,24140.0,480,85
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,16:00:00,Spring,1.495,None,23.4,42,9.8,980.9,0.0,0.0,24140.0,312,85
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,18:00:00,Spring,1.495,None,22.0,59,13.7,980.8,0.0,0.0,24140.0,312,83
25-05-2024,Maribor,46.68255971126553,15.65138919777721,Saturday,20:00:00,Spring,1.495,None,19.2,67,12.9,980.8,0.0,0.0,16960.0,132,91
26-05-2024,Maribor,46.68255971126553,15.65138919777721,Sunday,00:00:00,Spring,1.495,None,14.5,90,12.9,983.2,3.6,0.0,24140.0,132,81
26-05-2024,Maribor,46.68255971126553,15.65138919777721,Sunday,01:00:00,Spring,1.495,None,14.5,87,12.3,982.5,0.3,0.0,21420.0,36,83
26-05-2024,Maribor,46.68255971126553,15.65138919777721,Sunday,02:00:00,Spring,1.495,None,13.8,87,11.7,982.5,2.4,0.0,14920.0,48,69
26-05-2024,Maribor,46.68255971126553,15.65138919777721,Sunday,04:00:00,Spring,1.495,None,14.2,86,11.9,982.2,0.6,0.0,22660.0,180,93
26-05-2024,Maribor,46.68255971126553,15.65138919777721,Sunday,06:00:00,Spring,1.495,None,13.3,93,12.2,982.8,1.7,0.0,22560.0,204,83
