date,region,latitude,longitude,day_of_week,hour,season,fuel_price,holiday,temperature,relative_humidity,dew_point,surface_pressure,rain,snowfall,visibility,num_of_cars,avg_speed
24-05-2024,Pomurska,46.52351975291412,16.44175950632071,Friday,10:00:00,Spring,1.495,None,19.9,64,12.9,999.1,0.0,0.0,24140.0,168,75
24-05-2024,Pomurska,46.52351975291413,16.441759506320707,Friday,15:00:00,Spring,1.495,None,24.4,40,9.9,997.7,0.0,0.0,24140.0,96,79
24-05-2024,Pomurska,46.52351975291413,16.441759506320707,Friday,16:00:00,Spring,1.495,None,23.7,38,8.6,997.7,0.0,0.0,24140.0,48,86
24-05-2024,Pomurska,46.52351975291413,16.441759506320707,Friday,18:00:00,Spring,1.495,None,22.6,49,11.4,998.1,0.0,0.0,24140.0,96,81
24-05-2024,Pomurska,46.52351975291413,16.441759506320707,Friday,20:00:00,Spring,1.495,None,20.2,59,12.0,997.8,0.0,0.0,24140.0,60,80
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,00:00:00,Spring,1.495,None,15.6,90,14.0,999.2,0.6,0.0,24140.0,0,0
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,01:00:00,Spring,1.495,None,15.8,96,15.2,999.0,0.0,0.0,24140.0,0,0
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,02:00:00,Spring,1.495,None,14.3,98,14.0,998.6,0.0,0.0,24140.0,12,90
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,04:00:00,Spring,1.495,None,14.4,97,13.9,999.0,0.0,0.0,24140.0,48,87
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,06:00:00,Spring,1.495,None,14.3,97,13.8,999.0,0.0,0.0,24140.0,108,83
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,08:00:00,Spring,1.495,None,17.1,85,14.6,998.8,0.0,0.0,24140.0,96,77
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,10:00:00,Spring,1.495,None,18.8,81,15.5,999.2,0.0,0.0,24140.0,96,78
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,12:00:00,Spring,1.495,None,22.6,64,15.5,999.0,0.0,0.0,24140.0,120,80
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,14:00:00,Spring,1.495,None,23.4,52,13.0,998.0,0.0,0.0,24140.0,96,80
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,16:00:00,Spring,1.495,None,24.6,45,11.9,996.8,0.0,0.0,24140.0,48,87
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,18:00:00,Spring,1.495,None,24.3,46,11.9,996.2,0.0,0.0,24140.0,60,83
25-05-2024,Pomurska,46.52351975291413,16.441759506320707,Saturday,20:00:00,Spring,1.495,None,21.1,65,14.3,996.1,0.0,0.0,24140.0,24,90
26-05-2024,Pomurska,46.52351975291413,16.441759506320707,Sunday,00:00:00,Spring,1.495,None,15.3,91,13.9,998.3,0.3,0.0,24140.0,12,88
26-05-2024,Pomurska,46.52351975291413,16.441759506320707,Sunday,01:00:00,Spring,1.495,None,15.5,92,14.2,998.3,2.7,0.0,13260.0,0,0
26-05-2024,Pomurska,46.52351975291413,16.441759506320707,Sunday,02:00:00,Spring,1.495,None,15.1,93,14.0,999.5,4.7,0.0,24140.0,12,61
