date,region,latitude,longitude,day_of_week,hour,season,fuel_price,holiday,temperature,relative_humidity,dew_point,surface_pressure,rain,snowfall,visibility,num_of_cars,avg_speed
24-05-2024,Postojna,45.93134443045748,14.270708378492923,Friday,10:00:00,Spring,1.495,None,17.1,73,12.2,964.4,0.0,0.0,12620.0,1416,123
24-05-2024,Postojna,45.93134443045748,14.270708378492923,Friday,15:00:00,Spring,1.495,None,20.1,52,9.9,963.6,0.0,0.0,24140.0,1620,118
24-05-2024,Postojna,45.93134443045748,14.270708378492923,Friday,16:00:00,Spring,1.495,None,20.0,48,8.6,963.6,0.0,0.0,24140.0,1068,124
24-05-2024,Postojna,45.93134443045748,14.270708378492923,Friday,18:00:00,Spring,1.495,None,18.9,49,8.0,963.5,0.0,0.0,24140.0,636,131
24-05-2024,Postojna,45.93134443045748,14.270708378492923,Friday,20:00:00,Spring,1.495,None,16.2,61,8.6,963.2,0.0,0.0,24140.0,384,134
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,00:00:00,Spring,1.495,None,10.6,81,7.4,963.9,0.0,0.0,24140.0,24,139
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,01:00:00,Spring,1.495,None,10.2,90,8.6,963.9,0.0,0.0,24140.0,24,150
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,02:00:00,Spring,1.495,None,10.2,96,9.6,963.5,0.0,0.0,24140.0,96,130
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,04:00:00,Spring,1.495,None,10.0,96,9.4,963.9,0.0,0.0,24140.0,216,131
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,06:00:00,Spring,1.495,None,9.3,98,9.0,963.6,0.0,0.0,24140.0,768,132
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,08:00:00,Spring,1.495,None,12.8,91,11.4,963.6,0.0,0.0,24140.0,816,129
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,10:00:00,Spring,1.495,None,15.8,77,11.8,963.6,0.0,0.0,24140.0,1524,121
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,12:00:00,Spring,1.495,None,18.9,63,11.7,963.7,0.0,0.0,23820.0,1008,124
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,14:00:00,Spring,1.495,None,19.1,52,9.0,962.8,0.6,0.0,24140.0,648,129
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,16:00:00,Spring,1.495,None,13.9,82,10.9,963.0,1.3,0.0,21660.0,1056,134
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,18:00:00,Spring,1.495,None,15.9,83,13.0,962.7,0.8,0.0,24140.0,840,128
25-05-2024,Postojna,45.93134443045748,14.270708378492923,Saturday,20:00:00,Spring,1.495,None,15.3,88,13.3,961.9,0.0,0.0,24140.0,516,135
26-05-2024,Postojna,45.93134443045748,14.270708378492923,Sunday,00:00:00,Spring,1.495,None,11.5,94,10.5,962.6,0.0,0.0,24140.0,120,144
26-05-2024,Postojna,45.93134443045748,14.270708378492923,Sunday,01:00:00,Spring,1.495,None,11.4,93,10.3,962.3,0.0,0.0,24140.0,0,0
