date,region,latitude,longitude,day_of_week,hour,season,fuel_price,holiday,temperature,relative_humidity,dew_point,surface_pressure,rain,snowfall,visibility,num_of_cars,avg_speed
24-05-2024,Vransko,46.17464057644776,14.804130481638964,Friday,10:00:00,Spring,1.495,None,16.5,73,11.6,970.6,0.0,0.0,24140.0,852,127
24-05-2024,Vransko,46.17464057644776,14.804130481638968,Friday,15:00:00,Spring,1.495,None,19.6,62,12.1,969.6,0.0,0.0,24140.0,1332,125
24-05-2024,Vransko,46.17464057644776,14.804130481638968,Friday,16:00:00,Spring,1.495,None,19.9,55,10.5,969.4,0.0,0.0,24140.0,708,128
24-05-2024,Vransko,46.17464057644776,14.804130481638968,Friday,18:00:00,Spring,1.495,None,19.9,50,9.1,969.5,0.0,0.0,24140.0,396,140
24-05-2024,Vransko,46.17464057644776,14.804130481638968,Friday,20:00:00,Spring,1.495,None,17.1,57,8.5,969.4,0.0,0.0,24140.0,108,133
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,00:00:00,Spring,1.495,None,12.5,76,8.3,969.9,0.0,0.0,24140.0,192,134
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,01:00:00,Spring,1.495,None,12.5,79,9.0,969.8,0.0,0.0,24140.0,24,126
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,02:00:00,Spring,1.495,None,11.7,85,9.3,969.6,0.0,0.0,24140.0,24,112
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,04:00:00,Spring,1.495,None,11.2,88,9.3,969.9,0.0,0.0,24140.0,12,136
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,06:00:00,Spring,1.495,None,11.3,85,8.9,969.6,0.0,0.0,24140.0,372,138
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,08:00:00,Spring,1.495,None,14.9,83,12.0,969.7,0.0,0.0,24140.0,624,130
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,10:00:00,Spring,1.495,None,17.9,73,13.0,969.9,0.0,0.0,24140.0,672,133
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,12:00:00,Spring,1.495,None,20.2,58,11.7,970.3,0.0,0.0,24140.0,792,136
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,14:00:00,Spring,1.495,None,20.8,53,10.8,969.4,0.0,0.0,24140.0,564,131
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,16:00:00,Spring,1.495,None,20.9,49,9.8,968.4,0.0,0.0,24140.0,432,138
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,18:00:00,Spring,1.495,None,19.0,57,10.2,968.8,0.0,0.0,24140.0,276,137
25-05-2024,Vransko,46.17464057644776,14.804130481638968,Saturday,20:00:00,Spring,1.495,None,16.9,70,11.3,968.0,0.0,0.0,24140.0,120,142
26-05-2024,Vransko,46.17464057644776,14.804130481638968,Sunday,00:00:00,Spring,1.495,None,14.0,79,10.4,969.1,0.0,0.0,24140.0,60,140
26-05-2024,Vransko,46.17464057644776,14.804130481638968,Sunday,01:00:00,Spring,1.495,None,14.8,76,10.6,969.2,0.0,0.0,24140.0,24,124
