datetime,temperature,relative_humidity,dew_point,surface_pressure,rain,snowfall,visibility
2024-05-24 10:00:00,16.8,73,11.9,961.3,0.0,0.0,13400.0
2024-05-24 15:00:00,18.3,58,9.9,961.1,0.0,0.0,18720.0
2024-05-24 16:00:00,18.3,59,10.1,960.8,0.0,0.0,23560.0
2024-05-24 18:00:00,17.6,63,10.5,960.3,0.0,0.0,20640.0
2024-05-24 20:00:00,15.6,73,10.8,959.7,0.0,0.0,24140.0
2024-05-25 00:00:00,11.7,72,6.8,960.1,0.0,0.0,24140.0
2024-05-25 01:00:00,9.8,92,8.5,960.0,0.0,0.0,24140.0
2024-05-25 02:00:00,9.6,95,8.8,959.6,0.0,0.0,24140.0
2024-05-25 04:00:00,8.7,96,8.1,959.7,0.0,0.0,24140.0
2024-05-25 06:00:00,10.9,88,9.0,959.2,0.0,0.0,24140.0
2024-05-25 08:00:00,14.9,78,11.1,959.5,0.0,0.0,24140.0
2024-05-25 10:00:00,18.6,63,11.5,959.6,0.0,0.0,24140.0
