datetime,temperature,relative_humidity,dew_point,surface_pressure,rain,snowfall,visibility
2024-05-24 10:00:00,19.9,64,12.9,999.1,0.0,0.0,24140.0
2024-05-24 15:00:00,24.4,40,9.9,997.7,0.0,0.0,24140.0
2024-05-24 16:00:00,23.7,38,8.6,997.7,0.0,0.0,24140.0
2024-05-24 18:00:00,22.6,49,11.4,998.1,0.0,0.0,24140.0
2024-05-24 20:00:00,20.2,59,12.0,997.8,0.0,0.0,24140.0
2024-05-25 00:00:00,15.6,90,14.0,999.2,0.6,0.0,24140.0
2024-05-25 01:00:00,15.8,96,15.2,999.0,0.0,0.0,24140.0
2024-05-25 02:00:00,14.3,98,14.0,998.6,0.0,0.0,24140.0
2024-05-25 04:00:00,14.4,97,13.9,999.0,0.0,0.0,24140.0
2024-05-25 06:00:00,14.3,97,13.8,999.0,0.0,0.0,24140.0
2024-05-25 08:00:00,17.1,85,14.6,998.8,0.0,0.0,24140.0
2024-05-25 10:00:00,18.8,81,15.5,999.2,0.0,0.0,24140.0
2024-05-25 12:00:00,22.6,64,15.5,999.0,0.0,0.0,24140.0
2024-05-25 14:00:00,23.4,52,13.0,998.0,0.0,0.0,24140.0
2024-05-25 16:00:00,24.6,45,11.9,996.8,0.0,0.0,24140.0
2024-05-25 18:00:00,24.3,46,11.9,996.2,0.0,0.0,24140.0
2024-05-25 20:00:00,21.1,65,14.3,996.1,0.0,0.0,24140.0
2024-05-26 00:00:00,15.3,91,13.9,998.3,0.3,0.0,24140.0
2024-05-26 01:00:00,15.5,92,14.2,998.3,2.7,0.0,13260.0
2024-05-26 02:00:00,15.1,93,14.0,999.5,4.7,0.0,24140.0
