datetime,temperature,relative_humidity,dew_point,surface_pressure,rain,snowfall,visibility
2024-05-24 10:00:00,17.1,73,12.2,964.4,0.0,0.0,12620.0
2024-05-24 15:00:00,20.1,52,9.9,963.6,0.0,0.0,24140.0
2024-05-24 16:00:00,20.0,48,8.6,963.6,0.0,0.0,24140.0
2024-05-24 18:00:00,18.9,49,8.0,963.5,0.0,0.0,24140.0
2024-05-24 20:00:00,16.2,61,8.6,963.2,0.0,0.0,24140.0
2024-05-25 00:00:00,10.6,81,7.4,963.9,0.0,0.0,24140.0
2024-05-25 01:00:00,10.2,90,8.6,963.9,0.0,0.0,24140.0
2024-05-25 02:00:00,10.2,96,9.6,963.5,0.0,0.0,24140.0
2024-05-25 04:00:00,10.0,96,9.4,963.9,0.0,0.0,24140.0
2024-05-25 06:00:00,9.3,98,9.0,963.6,0.0,0.0,24140.0
2024-05-25 08:00:00,12.8,91,11.4,963.6,0.0,0.0,24140.0
2024-05-25 10:00:00,15.8,77,11.8,963.6,0.0,0.0,24140.0
2024-05-25 12:00:00,18.9,63,11.7,963.7,0.0,0.0,23820.0
2024-05-25 14:00:00,19.1,52,9.0,962.8,0.6,0.0,24140.0
2024-05-25 16:00:00,13.9,82,10.9,963.0,1.3,0.0,21660.0
2024-05-25 18:00:00,15.9,83,13.0,962.7,0.8,0.0,24140.0
2024-05-25 20:00:00,15.3,88,13.3,961.9,0.0,0.0,24140.0
2024-05-26 00:00:00,11.5,94,10.5,962.6,0.0,0.0,24140.0
2024-05-26 01:00:00,11.4,93,10.3,962.3,0.0,0.0,24140.0
2024-05-26 02:00:00,11.1,92,9.8,962.5,0.0,0.0,24140.0
2024-05-26 04:00:00,11.4,91,10.0,962.4,0.0,0.0,24140.0
2024-05-26 06:00:00,10.8,95,10.0,962.9,0.0,0.0,24140.0
2024-05-26 08:00:00,14.1,88,12.1,963.7,0.0,0.0,24140.0
2024-05-26 10:00:00,15.6,81,12.4,964.3,0.0,0.0,24140.0
2024-05-26 12:00:00,17.3,72,12.2,964.9,0.0,0.0,24140.0
2024-05-26 14:00:00,19.5,57,10.7,964.1,0.0,0.0,24140.0
2024-05-26 16:00:00,19.8,54,10.2,964.7,0.0,0.0,19400.0
