datetime,temperature,relative_humidity,dew_point,surface_pressure,rain,snowfall,visibility
2024-05-24 10:00:00,18.9,67,12.6,989.2,0.0,0.0,24140.0
2024-05-24 15:00:00,20.7,58,12.2,988.1,0.0,0.0,24140.0
2024-05-24 16:00:00,22.4,54,12.6,987.6,0.0,0.0,24140.0
2024-05-24 18:00:00,21.6,48,10.1,988.0,0.0,0.0,24140.0
2024-05-24 20:00:00,19.8,57,11.0,987.8,0.0,0.0,24140.0
2024-05-25 00:00:00,11.9,85,9.4,988.9,0.0,0.0,24140.0
2024-05-25 01:00:00,11.7,87,9.6,989.0,0.0,0.0,24140.0
2024-05-25 02:00:00,10.8,94,9.9,988.8,0.0,0.0,24140.0
2024-05-25 04:00:00,10.3,92,9.1,989.1,0.0,0.0,24140.0
2024-05-25 06:00:00,8.4,100,8.4,989.0,0.0,0.0,24140.0
