region,model,mse,mae,ev
Ljubljana,cars,56247.516,231.28737,-32006.474609375
Ljubljana,cars,56247.515625,231.2873687744141,-32006.474609375
Ljubljana,cars,56247.515625,231.2873687744141,-32006.474609375
Ljubljana,cars,56247.515625,231.2873687744141,-32006.474609375
Ljubljana,cars,52142.140625,223.4262084960937,-47261.96875
Ljubljana,cars,133381.75,358.1349792480469,-137502.828125
Ljubljana,cars,124523.4453125,344.0901184082031,-93484.4296875
Ljubljana,cars,166834.375,404.03466796875,-52272.15625
Ljubljana,cars,203029.875,448.0895385742188,-63605.87109375
Ljubljana,cars,124349.703125,344.1893310546875,-165631.859375
Ljubljana,cars,154185.53125,386.3406372070313,-138691.28125
Ljubljana,cars,134207.375,354.843994140625,-233471.609375
Ljubljana,cars,89128.6015625,292.5987243652344,-83004.34375
Ljubljana,cars,157800.859375,393.3817443847656,-72071.140625
Ljubljana,cars,72152.78125,262.2660827636719,-79572.828125
Ljubljana,cars,105606.1171875,318.3412170410156,-100726.40625
Ljubljana,cars,104641.6953125,321.0243530273437,-37434.171875
Ljubljana,cars,81933.25,283.92108154296875,-31222.361328125
Ljubljana,cars,92186.046875,294.83721923828125,-104485.0546875
Ljubljana,cars,131394.734375,354.5547790527344,-85246.078125
Ljubljana,cars,166830.9375,400.8043823242188,-111478.5625
Ljubljana,cars,170572.625,412.2728576660156,-10904.59375
Ljubljana,cars,136553.15625,366.689697265625,-37255.3515625
Ljubljana,cars,108262.109375,323.7312927246094,-50960.859375
Ljubljana,cars,116439.2890625,334.97882080078125,-82434.8359375
Ljubljana,cars,153727.90625,388.0812683105469,-60840.203125
Ljubljana,cars,98460.0859375,307.27740478515625,-70417.0703125
Ljubljana,cars,70409.9609375,263.07037353515625,-20734.474609375
Ljubljana,cars,81682.2578125,281.7622375488281,-43417.7578125
Ljubljana,cars,58741.96484375,235.3052520751953,-63989.609375
Ljubljana,cars,142796.71875,373.0901794433594,-71479.125
Ljubljana,cars,98811.75,309.44940185546875,-39550.5
Ljubljana,cars,112668.6171875,332.3142395019531,-31404.244140625
Ljubljana,cars,77789.0546875,276.7086181640625,-30855.970703125
Ljubljana,cars,111508.796875,330.9767761230469,-36115.05078125
Ljubljana,cars,136821.4375,366.7752685546875,-42904.18359375
Ljubljana,cars,185018.484375,426.6231384277344,-51575.2109375
Ljubljana,cars,136598.59375,367.4703369140625,-26789.7890625
Ljubljana,cars,54753.51171875,229.5711212158203,-34397.921875
Ljubljana,cars,55010.3984375,230.4539337158203,-43801.18359375
Ljubljana,cars,54698.1640625,226.6391448974609,-71087.53125
Ljubljana,cars,54984.7265625,227.4617462158203,-69010.171875
Ljubljana,cars,50298.17578125,218.85107421875,-42421.48046875
Ljubljana,cars,54669.91796875,228.3612823486328,-55817.1953125
Ljubljana,cars,55253.875,231.18788146972656,-38973.9140625
Ljubljana,cars,55253.875,231.18788146972656,-38973.9140625
Ljubljana,cars,54327.35546875,228.623046875,-56780.3125
Ljubljana,cars,50668.51171875,218.7660675048828,-63327.984375
Ljubljana,cars,51831.0703125,221.9795379638672,-54567.9609375
Ljubljana,cars,51496.4140625,220.63796997070312,-38037.90234375
Ljubljana,cars,51496.4140625,220.63796997070312,-38037.90234375
Ljubljana,cars,50402.2734375,218.5085601806641,-63961.390625
Ljubljana,cars,45025.94140625,207.6304626464844,-35486.74609375
Ljubljana,cars,45278.14453125,208.9076385498047,-38349.7421875
Ljubljana,cars,47736.328125,213.7640075683593,-35768.43359375
Ljubljana,cars,47693.5078125,213.64732360839844,-35067.3984375
Ljubljana,cars,47693.5078125,213.64732360839844,-35067.3984375
Ljubljana,cars,47693.5078125,213.64732360839844,-35067.3984375
Ljubljana,cars,47693.5078125,213.64732360839844,-35067.3984375
Ljubljana,cars,47693.5078125,213.64732360839844,-35067.3984375
Ljubljana,cars,56117.97265625,231.50538635253906,-33556.49609375
