region,model,mse,mae,ev
Ljubljana,speed,5076.431,70.47895,-30325.126953125
Ljubljana,speed,5076.43115234375,70.47895050048828,-30325.126953125
Ljubljana,speed,5076.43115234375,70.47895050048828,-30325.126953125
Ljubljana,speed,5076.43115234375,70.47895050048828,-30325.126953125
Ljubljana,speed,6951.62646484375,83.13265991210938,-885.6130981445312
Ljubljana,speed,11178.912109375,105.5298309326172,-366.9525146484375
Ljubljana,speed,8252.3896484375,90.55754089355467,-601.3851928710938
Ljubljana,speed,9514.193359375,97.36393737792967,-327.0185241699219
Ljubljana,speed,10935.73046875,104.40318298339844,-309.10308837890625
Ljubljana,speed,11173.66015625,105.19574737548828,-919.0953369140624
Ljubljana,speed,11708.60546875,108.03616333007812,-313.8710632324219
Ljubljana,speed,9253.685546875,96.02462768554688,-281.0323181152344
Ljubljana,speed,10957.1669921875,104.4801254272461,-319.2938537597656
Ljubljana,speed,11443.912109375,106.46868133544922,-843.8389892578125
Ljubljana,speed,11807.181640625,108.2633285522461,-671.5210571289062
Ljubljana,speed,12217.4140625,110.3224639892578,-360.6038208007813
Ljubljana,speed,12612.041015625,111.86199951171876,-770.5466918945312
Ljubljana,speed,11282.9697265625,105.87833404541016,-566.3425903320312
Ljubljana,speed,13751.404296875,117.152587890625,-224.3448944091797
Ljubljana,speed,11199.076171875,105.6948471069336,-172.541748046875
Ljubljana,speed,11149.7001953125,105.37248229980467,-327.4313659667969
Ljubljana,speed,11647.32421875,107.65827941894533,-371.62738037109375
Ljubljana,speed,11517.4921875,107.1568374633789,-262.9304504394531
Ljubljana,speed,11869.5185546875,108.7690887451172,-264.2232360839844
Ljubljana,speed,10882.435546875,103.9551239013672,-1138.8834228515625
Ljubljana,speed,11646.953125,107.71199798583984,-677.1767578125
Ljubljana,speed,8800.8251953125,93.63172149658203,-361.04693603515625
