region,model,mse,mae,ev
Maribor,cars,122286.64,348.88907,-7533.82666015625
Maribor,cars,122286.640625,348.8890686035156,-7533.82666015625
Maribor,cars,122286.640625,348.8890686035156,-7533.82666015625
Maribor,cars,122286.640625,348.8890686035156,-7533.82666015625
Maribor,cars,116221.6796875,335.8015441894531,-37946.4609375
Maribor,cars,150044.234375,386.095703125,-13447.857421875
Maribor,cars,87137.9765625,293.6729736328125,-9822.564453125
Maribor,cars,131420.390625,360.6971435546875,-17448.111328125
Maribor,cars,135371.65625,366.8645935058594,-11602.953125
Maribor,cars,128485.78125,356.5277709960937,-18626.5625
Maribor,cars,146235.0625,381.7053833007813,-7267.86474609375
Maribor,cars,166988.015625,403.060546875,-61428.0390625
Maribor,cars,158924.0625,396.80169677734375,-59314.875
Maribor,cars,151522.234375,388.0794372558594,-36920.36328125
Maribor,cars,118884.890625,343.4924621582031,-36165.80859375
Maribor,cars,136370.75,368.1171875,-34660.51171875
Maribor,cars,142628.5,374.345703125,-100456.390625
Maribor,cars,96784.5234375,310.2337646484375,-21732.9453125
Maribor,cars,128370.234375,355.9325256347656,-80460.578125
Maribor,cars,141299.796875,372.3790588378906,-80700.2734375
Maribor,cars,168114.875,400.7729797363281,-159274.203125
Maribor,cars,160479.3125,399.1691589355469,-11016.404296875
Maribor,cars,175874.890625,410.01507568359375,-160233.90625
Maribor,cars,118793.953125,335.00750732421875,-74756.0546875
Maribor,cars,176521.234375,416.16302490234375,-112178.6328125
Maribor,cars,169162.484375,407.6275939941406,-101150.2890625
Maribor,cars,140379.96875,358.828857421875,-318392.15625
Maribor,cars,133944.734375,359.2755432128906,-119563.1953125
Maribor,cars,219300.046875,466.5872497558594,-67374.6484375
Maribor,cars,268529.9375,508.3687744140625,-288775.03125
Maribor,cars,155095.1875,389.79241943359375,-30910.244140625
Maribor,cars,160697.546875,398.4444885253906,-59099.56640625
