region,model,mse,mae,ev
Maribor,speed,4686.318,68.28686,-14860.05859375
Maribor,speed,4686.31787109375,68.28685760498047,-14860.05859375
Maribor,speed,4686.31787109375,68.28685760498047,-14860.05859375
Maribor,speed,4686.31787109375,68.28685760498047,-14860.05859375
Maribor,speed,5571.45361328125,74.58269500732422,-5963.65869140625
Maribor,speed,6808.44580078125,82.49642181396484,-23.625675201416016
Maribor,speed,5342.4033203125,72.9341049194336,-10550.7646484375
Maribor,speed,5175.83349609375,71.886474609375,-2808.18017578125
Maribor,speed,6703.05810546875,81.77816772460938,-3474.041015625
Maribor,speed,6719.5966796875,81.84619140625,-4586.09814453125
Maribor,speed,5452.12841796875,73.69252014160156,-4750.02978515625
Maribor,speed,6021.15576171875,77.49705505371094,-3387.287109375
Maribor,speed,5168.91259765625,71.8497314453125,-2106.400634765625
Maribor,speed,5936.5859375,76.99847412109375,-2523.6259765625
Maribor,speed,5683.087890625,75.37225341796875,-680.2235107421875
Maribor,speed,5659.2568359375,75.15576934814453,-3506.968505859375
Maribor,speed,5618.91552734375,74.8740463256836,-4128.39697265625
Maribor,speed,5700.8173828125,75.3530044555664,-7339.65283203125
Maribor,speed,6380.61962890625,79.848388671875,-463.0887451171875
Maribor,speed,5417.79541015625,73.53247833251953,-1184.5555419921875
Maribor,speed,5797.6123046875,76.03900146484375,-1796.0699462890625
Maribor,speed,5281.7021484375,72.46099090576172,-771.254150390625
Maribor,speed,5965.43408203125,76.97012329101562,-1095.29638671875
Maribor,speed,5275.4443359375,72.40950775146484,-4113.91259765625
Maribor,speed,5256.4208984375,72.46284484863281,-276.880126953125
Maribor,speed,6424.91943359375,80.1150131225586,-324.30157470703125
Maribor,speed,5053.64208984375,70.78898620605469,-676.1917114257812
Maribor,speed,5654.78515625,75.15887451171875,-73.41827392578125
Maribor,speed,5566.517578125,74.45048522949219,-1320.336669921875
Maribor,speed,5690.26025390625,75.33384704589844,-722.5556640625
Maribor,speed,5267.39794921875,72.16726684570312,-1700.8743896484375
Maribor,speed,6453.6240234375,80.28187561035156,-374.919189453125
Maribor,speed,5514.384765625,74.19408416748047,-470.8661193847656
Maribor,speed,5555.72900390625,74.51538848876953,-112.92701721191406
Maribor,speed,5409.21923828125,73.2413101196289,-1395.8931884765625
Maribor,speed,5075.34619140625,71.09198760986328,-361.0091552734375
Maribor,speed,5406.84326171875,73.38475036621094,-380.63177490234375
Maribor,speed,4877.74951171875,69.76580047607422,-184.8791046142578
Maribor,speed,5755.87353515625,75.78778076171875,-292.6031494140625
Maribor,speed,5727.439453125,75.60499572753906,-1789.25341796875
Maribor,speed,5931.67578125,76.96015167236328,-1581.4090576171875
Maribor,speed,5939.8720703125,77.01228332519531,-1690.9486083984375
Maribor,speed,5905.0546875,76.78462219238281,-184.60641479492188
Maribor,speed,5938.517578125,77.01778411865234,-309.7778015136719
Maribor,speed,5829.39990234375,76.29761505126953,-437.7824401855469
