region,model,mse,mae,ev
Pomurska,cars,3132.042,53.80144,-6528.78515625
Pomurska,cars,3132.0419921875,53.80144119262695,-6528.78515625
Pomurska,cars,3132.0419921875,53.80144119262695,-6528.78515625
Pomurska,cars,3132.0419921875,53.80144119262695,-6528.78515625
Pomurska,cars,3449.60693359375,56.98003387451172,-11329.2119140625
Pomurska,cars,5203.3759765625,70.95674896240234,-9225.5986328125
Pomurska,cars,4887.16796875,69.1351318359375,-3093.75732421875
Pomurska,cars,5736.09033203125,74.46572875976562,-6073.1748046875
Pomurska,cars,5437.57763671875,73.2428207397461,-2328.113037109375
Pomurska,cars,4118.12109375,63.30586242675781,-3520.99853515625
Pomurska,cars,5373.875,70.6077880859375,-12380.32421875
Pomurska,cars,8275.849609375,88.02434539794922,-16815.904296875
Pomurska,cars,5939.22705078125,76.21678924560547,-5652.4990234375
Pomurska,cars,6370.22509765625,79.39384460449219,-2900.879150390625
Pomurska,cars,5623.47265625,73.90768432617188,-6993.95361328125
Pomurska,cars,8331.4189453125,90.5865707397461,-5447.02490234375
Pomurska,cars,5568.4619140625,73.68596649169922,-6026.44384765625
Pomurska,cars,6242.44921875,78.62718963623047,-2613.05810546875
Pomurska,cars,3195.550048828125,55.10764694213867,-7440.82861328125
Pomurska,cars,6077.55859375,76.42422485351562,-6331.87060546875
Pomurska,cars,6083.44921875,77.89454650878906,-412.1924743652344
Pomurska,cars,5270.81689453125,71.39085388183594,-4368.86474609375
