region,model,mse,mae,ev
Postojna,cars,355949.84,585.8934,-89234.6484375
Postojna,cars,355949.84375,585.8933715820312,-89234.6484375
Postojna,cars,355949.84375,585.8933715820312,-89234.6484375
Postojna,cars,355949.84375,585.8933715820312,-89234.6484375
Postojna,cars,228627.421875,466.4836120605469,-96424.9921875
Postojna,cars,615972.375,775.4700317382812,-215145.625
Postojna,cars,518187.875,716.307861328125,-40316.05859375
Postojna,cars,893396.625,941.819580078125,-79573.609375
Postojna,cars,473482.46875,675.7493896484375,-225938.296875
Postojna,cars,937130.625,953.4119873046876,-377380.71875
Postojna,cars,660190.9375,806.29150390625,-135265.0
Postojna,cars,719630.875,845.1073608398438,-72755.609375
Postojna,cars,435787.0,657.6874389648438,-40880.4921875
Postojna,cars,619250.625,779.9732055664062,-137684.296875
Postojna,cars,627564.4375,788.9365234375,-65015.828125
Postojna,cars,856989.375,915.5307006835938,-237550.796875
