region,model,mse,mae,ev
Postojna,speed,14165.77,117.93435,-15964.525390625
Postojna,speed,14165.76953125,117.9343490600586,-15964.525390625
Postojna,speed,14165.76953125,117.9343490600586,-15964.525390625
Postojna,speed,14165.76953125,117.9343490600586,-15964.525390625
Postojna,speed,15179.5771484375,122.20348358154295,-7565.65869140625
Postojna,speed,13354.09765625,114.78561401367188,-3022.796630859375
Postojna,speed,12128.4736328125,109.98663330078124,-849.7941284179688
Postojna,speed,11283.8525390625,106.08541870117188,-524.1577758789062
Postojna,speed,12857.0810546875,113.09088897705078,-901.5177001953124
Postojna,speed,10522.63671875,102.28187561035156,-821.5303344726562
Postojna,speed,12358.30078125,111.11837005615234,-147.32559204101562
Postojna,speed,12626.0439453125,112.164794921875,-606.6166381835938
Postojna,speed,11322.5126953125,105.26207733154295,-13214.59765625
Postojna,speed,11084.3173828125,105.0885009765625,-2219.1669921875
Postojna,speed,11446.3984375,106.73991394042967,-2887.973388671875
Postojna,speed,12232.6083984375,110.42290496826172,-2146.554931640625
Postojna,speed,12972.1572265625,113.34196472167967,-6855.015625
Postojna,speed,9887.7041015625,99.15613555908205,-3039.2431640625
Postojna,speed,13078.9345703125,114.1468276977539,-1775.07421875
Postojna,speed,12070.9541015625,109.7201919555664,-893.5498657226562
Postojna,speed,11824.689453125,108.54644012451172,-2058.9716796875
Postojna,speed,10777.9755859375,103.50406646728516,-1923.6444091796875
Postojna,speed,11322.2177734375,105.91365051269533,-4971.94482421875
Postojna,speed,13129.0126953125,114.2955322265625,-2900.3212890625
Postojna,speed,10454.857421875,101.89803314208984,-2524.633056640625
Postojna,speed,9939.654296875,99.54108428955078,-1099.7469482421875
Postojna,speed,13216.5107421875,114.73321533203124,-1469.0989990234375
Postojna,speed,13397.716796875,115.57081604003906,-1084.283935546875
Postojna,speed,13124.6015625,114.35614013671876,-1518.072509765625
Postojna,speed,12620.388671875,112.20701599121094,-1137.412353515625
Postojna,speed,13384.3603515625,115.60485076904295,-652.22998046875
Postojna,speed,10747.427734375,103.45875549316406,-1765.8082275390625
Postojna,speed,11334.2177734375,106.353759765625,-769.1233520507812
Postojna,speed,11163.31640625,105.5330047607422,-973.9945678710938
Postojna,speed,13050.48046875,113.74040985107422,-4281.16796875
Postojna,speed,13145.177734375,114.5016860961914,-677.9494018554688
Postojna,speed,10714.2763671875,103.29306030273438,-910.41796875
Postojna,speed,12043.55078125,109.49817657470705,-1091.0087890625
Postojna,speed,13248.22265625,114.93167114257812,-1708.4688720703125
Postojna,speed,13202.71875,114.73741149902344,-2568.509033203125
Postojna,speed,13687.8623046875,116.7777328491211,-1696.6640625
Postojna,speed,13710.705078125,116.88062286376952,-1704.9345703125
Postojna,speed,13605.6455078125,116.42764282226562,-1509.550048828125
Postojna,speed,13400.4169921875,115.55464935302734,-1806.3916015625
Postojna,speed,13370.9462890625,115.41051483154295,-1499.3468017578125
Postojna,speed,13370.9462890625,115.41051483154295,-1499.3468017578125
Postojna,speed,13303.9541015625,115.12137603759766,-1706.4432373046875
Postojna,speed,13470.0576171875,115.85455322265624,-1736.36181640625
Postojna,speed,13614.6572265625,116.48764038085938,-1902.543212890625
Postojna,speed,13410.0654296875,115.61080932617188,-1903.785888671875
Postojna,speed,13410.0654296875,115.61080932617188,-1903.785888671875
Postojna,speed,13571.0361328125,116.32916259765624,-2610.314697265625
Postojna,speed,13432.78515625,115.70284271240234,-1411.3515625
Postojna,speed,13376.74609375,115.47579193115234,-1156.1092529296875
Postojna,speed,13432.341796875,115.76808166503906,-1194.92626953125
Postojna,speed,13423.05078125,115.727783203125,-1199.9830322265625
Postojna,speed,13423.05078125,115.727783203125,-1199.9830322265625
Postojna,speed,13423.05078125,115.727783203125,-1199.9830322265625
Postojna,speed,13423.05078125,115.727783203125,-1199.9830322265625
Postojna,speed,13423.05078125,115.727783203125,-1199.9830322265625
Postojna,speed,13285.0107421875,115.11109161376952,-2673.4990234375
Postojna,speed,13669.8203125,116.6334991455078,-1988.2332763671875
Postojna,speed,13614.2705078125,116.34596252441406,-4702.3466796875
Postojna,speed,13799.5537109375,117.18009948730467,-2942.7060546875
Postojna,speed,13502.791015625,115.89836883544922,-3371.126953125
Postojna,speed,13677.984375,116.6705322265625,-2532.061767578125
Postojna,speed,14569.1689453125,120.60099029541016,-837.5836181640625
Postojna,speed,14635.1767578125,120.87094116210938,-930.642578125
Postojna,speed,14601.775390625,120.73371124267578,-924.1126098632812
Postojna,speed,14670.5947265625,121.01721954345705,-1323.06982421875
Postojna,speed,14690.5498046875,121.12200164794922,-884.0238647460938
Postojna,speed,14786.4453125,121.52327728271484,-765.5317993164062
Postojna,speed,14693.0908203125,121.12686920166016,-862.3555297851562
Postojna,speed,14789.4091796875,121.5457000732422,-585.2125244140625
Postojna,speed,15524.3798828125,124.47468566894533,-1110.370361328125
Postojna,speed,15448.462890625,124.16895294189452,-1366.6121826171875
Postojna,speed,15473.25,124.26429748535156,-1436.3946533203125
Postojna,speed,15344.4384765625,123.73379516601562,-1993.2896728515625
Postojna,speed,15634.4169921875,124.91453552246094,-1412.3909912109375
Postojna,speed,15566.083984375,124.64421844482422,-1402.8673095703125
Postojna,speed,15509.208984375,124.42086791992188,-1016.6466064453124
Postojna,speed,15602.8427734375,124.78131103515624,-1010.3807373046876
Postojna,speed,15485.42578125,124.33160400390624,-965.931396484375
Postojna,speed,15485.42578125,124.33160400390624,-965.931396484375
Postojna,speed,15455.88671875,124.21351623535156,-784.9860229492188
Postojna,speed,15455.88671875,124.21351623535156,-784.9860229492188
Postojna,speed,15415.23046875,124.0688934326172,-772.5853881835938
Postojna,speed,15411.517578125,124.05404663085938,-753.303955078125
Postojna,speed,15424.234375,124.11709594726562,-677.32958984375
Postojna,speed,15483.716796875,124.34919738769533,-744.2357177734375
Postojna,speed,15455.4140625,124.23014068603516,-1127.4749755859375
Postojna,speed,15393.9716796875,123.9684829711914,-1304.2420654296875
Postojna,speed,15497.845703125,124.41458129882812,-543.7195434570312
Postojna,speed,15549.91015625,124.62198638916016,-552.7372436523438
Postojna,speed,15305.822265625,123.59850311279295,-1662.9940185546875
Postojna,speed,15305.822265625,123.59850311279295,-1662.9940185546875
Postojna,speed,15305.4609375,123.59709930419922,-1706.326904296875
Postojna,speed,15527.5166015625,124.53152465820312,-731.6104125976562
Postojna,speed,15527.5166015625,124.53152465820312,-731.6104125976562
Postojna,speed,15554.58984375,124.63607025146484,-775.0814208984375
Postojna,speed,15719.140625,125.28628540039062,-825.5730590820312
Postojna,speed,15618.712890625,124.88619232177734,-877.7947387695312
Postojna,speed,15580.1376953125,124.6883773803711,-842.3623657226562
Postojna,speed,15496.4326171875,124.38765716552734,-1595.72265625
Postojna,speed,15689.7109375,125.14436340332033,-1403.113037109375
Postojna,speed,15611.326171875,124.83566284179688,-937.9783325195312
Postojna,speed,15515.9638671875,124.46341705322266,-691.591552734375
Postojna,speed,15475.54296875,124.29190063476562,-1171.61181640625
Postojna,speed,15328.154296875,123.71883392333984,-1271.0277099609375
