region,model,mse,mae,ev
Sl_Konjice,cars,222609.08,468.69812,-45146.8203125
Sl_Konjice,cars,222609.078125,468.6981201171875,-45146.8203125
Sl_Konjice,cars,222609.078125,468.6981201171875,-45146.8203125
Sl_Konjice,cars,222609.078125,468.6981201171875,-45146.8203125
Sl_Konjice,cars,242517.390625,490.0817260742188,-45672.421875
Sl_Konjice,cars,347942.71875,588.9310302734375,-12744.0546875
Sl_Konjice,cars,270826.28125,518.40869140625,-22078.966796875
Sl_Konjice,cars,358444.875,597.9461669921875,-9495.8583984375
Sl_Konjice,cars,385909.53125,619.2999877929688,-44786.27734375
Sl_Konjice,cars,323104.40625,567.1432495117188,-26763.341796875
Sl_Konjice,cars,407978.0625,635.3473510742188,-79425.1484375
Sl_Konjice,cars,411948.40625,640.7830810546875,-24783.796875
Sl_Konjice,cars,338973.96875,579.6382446289062,-42476.2421875
Sl_Konjice,cars,295405.09375,541.0449829101562,-37961.3515625
Sl_Konjice,cars,407997.125,638.2894287109375,-8282.47265625
Sl_Konjice,cars,347484.4375,585.8508911132812,-60492.2890625
Sl_Konjice,cars,276852.4375,524.0813598632812,-31091.05859375
Sl_Konjice,cars,366110.4375,602.9918823242188,-35631.82421875
Sl_Konjice,cars,295428.40625,540.7314453125,-47375.859375
Sl_Konjice,cars,316101.78125,559.8511962890625,-28037.66015625
Sl_Konjice,cars,361052.4375,598.8640747070312,-32517.662109375
Sl_Konjice,cars,343817.875,584.9005737304688,-22905.140625
Sl_Konjice,cars,297345.25,543.8980712890625,-23187.396484375
Sl_Konjice,cars,290351.03125,536.8827514648438,-27850.208984375
Sl_Konjice,cars,347128.8125,586.4774780273438,-59354.00390625
Sl_Konjice,cars,380264.46875,613.603515625,-70246.734375
Sl_Konjice,cars,284173.75,531.9168701171875,-18672.47265625
Sl_Konjice,cars,324543.40625,567.1963500976562,-40599.921875
Sl_Konjice,cars,353727.0625,593.5482177734375,-23257.01171875
Sl_Konjice,cars,292478.09375,538.302734375,-40422.421875
Sl_Konjice,cars,300550.65625,546.6867065429688,-25875.373046875
Sl_Konjice,cars,317285.625,561.23876953125,-31362.11328125
Sl_Konjice,cars,332644.21875,574.9114990234375,-26927.1640625
Sl_Konjice,cars,261903.796875,509.3610534667969,-38690.390625
Sl_Konjice,cars,365559.4375,603.0723266601562,-31655.3828125
Sl_Konjice,cars,388523.28125,622.0780639648438,-17669.54296875
Sl_Konjice,cars,449131.78125,669.2162475585938,-13054.041015625
Sl_Konjice,cars,429979.1875,654.9985961914062,-9738.9794921875
Sl_Konjice,cars,388556.25,621.9468994140625,-21302.853515625
Sl_Konjice,cars,387594.03125,621.112060546875,-34011.26171875
Sl_Konjice,cars,393621.53125,626.2321166992188,-28635.42578125
Sl_Konjice,cars,394128.90625,626.5780639648438,-29653.115234375
Sl_Konjice,cars,388261.15625,621.982666015625,-15115.3740234375
Sl_Konjice,cars,393570.90625,626.172607421875,-27123.587890625
Sl_Konjice,cars,393617.65625,625.9871826171875,-30679.8125
Sl_Konjice,cars,393617.65625,625.9871826171875,-30679.8125
Sl_Konjice,cars,397218.75,628.621826171875,-40833.1640625
Sl_Konjice,cars,395374.875,627.0191040039062,-41236.41796875
Sl_Konjice,cars,379404.25,614.6162719726562,-24077.294921875
Sl_Konjice,cars,387914.4375,621.1937255859375,-22613.482421875
Sl_Konjice,cars,387914.4375,621.1937255859375,-22613.482421875
Sl_Konjice,cars,385541.4375,619.417236328125,-29240.640625
Sl_Konjice,cars,387315.78125,621.407470703125,-15919.595703125
Sl_Konjice,cars,395580.875,627.7347412109375,-21572.580078125
Sl_Konjice,cars,398784.21875,630.1934204101562,-23887.33203125
Sl_Konjice,cars,399239.3125,630.5733032226562,-22939.615234375
Sl_Konjice,cars,399239.3125,630.5733032226562,-22939.615234375
Sl_Konjice,cars,399239.3125,630.5733032226562,-22939.615234375
Sl_Konjice,cars,399239.3125,630.5733032226562,-22939.615234375
Sl_Konjice,cars,399239.3125,630.5733032226562,-22939.615234375
Sl_Konjice,cars,395064.125,627.0972900390625,-25390.349609375
Sl_Konjice,cars,387390.78125,620.949462890625,-24686.95703125
Sl_Konjice,cars,384215.3125,618.6083374023438,-27801.919921875
Sl_Konjice,cars,396761.03125,628.5684814453125,-28445.755859375
