region,model,mse,mae,ev
Sl_Konjice,speed,10177.859,100.8613,-44.35158920288086
Sl_Konjice,speed,10177.859375,100.86129760742188,-44.35158920288086
Sl_Konjice,speed,10177.859375,100.86129760742188,-44.35158920288086
Sl_Konjice,speed,10177.859375,100.86129760742188,-44.35158920288086
Sl_Konjice,speed,10175.951171875,100.8686981201172,-19.307191848754883
Sl_Konjice,speed,10505.677734375,102.46480560302734,-204.670654296875
Sl_Konjice,speed,10782.4150390625,103.82012939453124,-53.6483039855957
Sl_Konjice,speed,10204.6962890625,101.01048278808594,-16.815345764160156
Sl_Konjice,speed,10075.353515625,100.36709594726562,-16.744525909423828
Sl_Konjice,speed,10606.4462890625,102.97451782226562,-23.970932006835938
Sl_Konjice,speed,10438.294921875,102.15373229980467,-25.965097427368164
Sl_Konjice,speed,10182.630859375,100.87582397460938,-61.074954986572266
Sl_Konjice,speed,10029.4453125,100.13235473632812,-37.94739532470703
Sl_Konjice,speed,10920.611328125,104.4949188232422,-17.766679763793945
Sl_Konjice,speed,10237.00390625,101.16446685791016,-35.27115631103516
Sl_Konjice,speed,10473.93359375,102.32685089111328,-40.45925521850586
Sl_Konjice,speed,10529.4609375,102.60751342773438,-14.256492614746094
Sl_Konjice,speed,10278.1171875,101.3689956665039,-31.20420455932617
Sl_Konjice,speed,10621.2099609375,103.0423812866211,-41.93435287475586
Sl_Konjice,speed,10424.3603515625,102.07857513427734,-58.12692642211914
Sl_Konjice,speed,10352.4306640625,101.7364273071289,-31.09048843383789
Sl_Konjice,speed,11140.435546875,105.5385513305664,-20.622041702270508
Sl_Konjice,speed,10830.46484375,104.01573181152344,-114.46636962890624
Sl_Konjice,speed,11172.09375,105.68450927734376,-45.03122329711914
Sl_Konjice,speed,11186.626953125,105.75706481933594,-21.836101531982425
Sl_Konjice,speed,11007.6806640625,104.90086364746094,-37.45188522338867
Sl_Konjice,speed,11141.119140625,105.5251922607422,-59.90139389038086
Sl_Konjice,speed,10890.3818359375,104.3418426513672,-53.30629348754883
Sl_Konjice,speed,10845.2421875,104.13511657714844,-14.911724090576172
Sl_Konjice,speed,10849.1240234375,104.13525390625,-60.86988067626953
Sl_Konjice,speed,10866.6181640625,104.21935272216795,-66.7751235961914
Sl_Konjice,speed,10720.25,103.5337371826172,-13.202760696411133
Sl_Konjice,speed,11086.8271484375,105.28052520751952,-43.026512145996094
Sl_Konjice,speed,10015.5244140625,100.05215454101562,-55.42573547363281
Sl_Konjice,speed,10873.4365234375,104.2551040649414,-45.41542434692383
Sl_Konjice,speed,10574.8876953125,102.82649230957033,-15.022451400756836
Sl_Konjice,speed,11278.6787109375,106.10132598876952,-255.0914306640625
Sl_Konjice,speed,10673.1142578125,103.28573608398438,-61.52447509765625
Sl_Konjice,speed,10059.177734375,100.28483581542967,-21.43674087524414
Sl_Konjice,speed,10043.080078125,100.20342254638672,-24.295860290527344
Sl_Konjice,speed,10143.8134765625,100.70618438720705,-25.749042510986328
Sl_Konjice,speed,10141.2353515625,100.69310760498048,-26.43226623535156
Sl_Konjice,speed,11018.78515625,104.95305633544922,-50.07794189453125
Sl_Konjice,speed,11010.2783203125,104.9157943725586,-42.27946090698242
Sl_Konjice,speed,10999.7841796875,104.85706329345705,-95.37997436523438
Sl_Konjice,speed,10999.7841796875,104.85706329345705,-95.37997436523438
Sl_Konjice,speed,10966.27734375,104.69918823242188,-84.4261703491211
Sl_Konjice,speed,11076.2841796875,105.21305084228516,-88.5789794921875
Sl_Konjice,speed,11183.96875,105.72464752197266,-73.40531158447266
Sl_Konjice,speed,11163.27734375,105.62842559814452,-67.12306213378906
Sl_Konjice,speed,11163.27734375,105.62842559814452,-67.12306213378906
Sl_Konjice,speed,11160.37890625,105.61366271972656,-78.97327423095703
Sl_Konjice,speed,11112.32421875,105.37184143066406,-111.26124572753906
Sl_Konjice,speed,11069.7236328125,105.17122650146484,-123.15908813476562
Sl_Konjice,speed,11160.7451171875,105.60850524902344,-124.5685806274414
Sl_Konjice,speed,11053.337890625,105.08804321289062,-167.05824279785156
Sl_Konjice,speed,11053.337890625,105.08804321289062,-167.05824279785156
Sl_Konjice,speed,11053.337890625,105.08804321289062,-167.05824279785156
Sl_Konjice,speed,11053.337890625,105.08804321289062,-167.05824279785156
Sl_Konjice,speed,11053.337890625,105.08804321289062,-167.05824279785156
Sl_Konjice,speed,10844.701171875,104.09933471679688,-128.79002380371094
Sl_Konjice,speed,11057.3330078125,105.10222625732422,-163.90689086914062
Sl_Konjice,speed,10881.3701171875,104.27855682373048,-112.54969787597656
Sl_Konjice,speed,11022.0,104.94462585449219,-142.38397216796875
